word,FY,counter,funding,Division
agriculture,18,1,102022,Grants
analysis,18,1,102022,Grants
block,17,1,142114,Grants
crop,17,1,142114,Grants
data,18,1,102022,Grants
department,18,1,102022,Grants
development,19,1,114091.17,Grants
evaluation,17,2,245157.63,Grants
evaluation,18,1,102022,Grants
facilitate,19,1,114091.17,Grants
farmers,17,1,103043.63,Grants
federal,18,1,102022,Grants
feedback,19,1,114091.17,Grants
food,17,1,103043.63,Grants
grant,17,2,245157.63,Grants
improvement,18,1,102022,Grants
independent,17,1,142114,Grants
local,17,1,103043.63,Grants
market,17,1,103043.63,Grants
marketing,18,1,102022,Grants
measures,19,1,114091.17,Grants
performance,19,1,114091.17,Grants
program,17,3,348201.26,Grants
program,18,1,102022,Grants
promotion,17,1,103043.63,Grants
scbgp,19,1,114091.17,Grants
specialty,17,1,142114,Grants
stakeholder,19,1,114091.17,Grants
united,18,1,102022,Grants
acceptance,19,2,270000,Marketing
access,16,1,54000,Marketing
activities,12,1,250000,Marketing
added,17,1,1e+05,Marketing
added,18,2,88275,Marketing
advancing,17,1,29997.5,Marketing
advisement,19,1,70000,Marketing
ag,17,1,27500,Marketing
ag,18,2,88275,Marketing
ag,19,2,57500,Marketing
agricultural,17,1,80000,Marketing
agricultural,18,1,52800,Marketing
agriculture,16,1,1e+05,Marketing
agriculture,19,1,10000,Marketing
aides,16,2,140315,Marketing
analysis,16,3,179119,Marketing
app,16,1,1e+05,Marketing
ars,12,1,50000,Marketing
ascertaining,19,1,99525,Marketing
assessing,18,1,25616,Marketing
assessing,19,1,99525,Marketing
assessment,18,1,74699,Marketing
beginning,17,1,45361,Marketing
benchmark,18,1,25616,Marketing
benefit,18,1,74699,Marketing
bucks,16,1,1e+05,Marketing
business,19,1,133200,Marketing
buyer,19,2,270000,Marketing
calculator,18,1,25616,Marketing
certification,12,1,250000,Marketing
certification,17,1,27500,Marketing
certifications,19,2,270000,Marketing
chain,17,1,1e+05,Marketing
changed,12,1,14950,Marketing
collaborative,16,1,120000,Marketing
collection,12,1,2e+05,Marketing
collection,18,1,1e+05,Marketing
college,16,1,50000,Marketing
community,17,1,29997.5,Marketing
communtiy,16,2,140315,Marketing
competencies,19,1,99525,Marketing
conference,16,2,240000,Marketing
conference,17,1,80000,Marketing
conference,18,2,88275,Marketing
conference,19,1,12000,Marketing
consumer,17,1,1e+05,Marketing
convergence,19,1,10000,Marketing
core,19,1,99525,Marketing
creating,16,1,1e+05,Marketing
curriculum,19,1,99525,Marketing
data,12,1,2e+05,Marketing
data,18,2,125616,Marketing
demand,17,1,1e+05,Marketing
development,19,1,70000,Marketing
digit,12,1,50000,Marketing
direct,17,1,80000,Marketing
direct,19,1,47500,Marketing
directories,16,1,1e+05,Marketing
directory,15,1,,Marketing
directory,16,2,2e+05,Marketing
directory,18,1,1e+05,Marketing
discovery,15,2,2e+05,Marketing
discovery,17,1,25000,Marketing
double,16,1,1e+05,Marketing
dynamics,19,1,133200,Marketing
economic,18,4,151547,Marketing
economic,19,1,133200,Marketing
economics,17,1,29997.5,Marketing
ecosystem,19,1,133200,Marketing
education,18,1,39573,Marketing
education,19,1,10000,Marketing
educator,16,1,1e+05,Marketing
educators,17,1,29997.5,Marketing
educators,19,1,1e+05,Marketing
enhancements,16,1,1e+05,Marketing
enhancements,18,1,1e+05,Marketing
enrichment,16,1,50000,Marketing
epa,12,1,150000,Marketing
evaluation,16,1,1e+05,Marketing
exploring,19,1,133200,Marketing
extension,17,1,29997.5,Marketing
extension's,19,1,99525,Marketing
facilitate,16,1,1e+05,Marketing
famers,12,1,14950,Marketing
farm,16,1,54000,Marketing
farm,17,1,27500,Marketing
farm,18,1,52800,Marketing
farm,19,2,196704,Marketing
farmer,17,1,1e+05,Marketing
farmers,12,1,2e+05,Marketing
farmers,15,1,1e+05,Marketing
farmers,16,6,312238,Marketing
farmers,17,2,70361,Marketing
farmers,19,1,1e+05,Marketing
farms,18,1,75042,Marketing
farner,12,1,250000,Marketing
financial,12,1,50000,Marketing
findings,18,1,39573,Marketing
flint,16,1,1e+05,Marketing
fo,16,1,1e+05,Marketing
food,12,2,164950,Marketing
food,15,1,,Marketing
food,16,8,794000,Marketing
food,17,2,57497.5,Marketing
food,18,3,178416,Marketing
food,19,6,487925,Marketing
forum,19,1,10000,Marketing
fresh,18,1,74699,Marketing
functions,16,1,1e+05,Marketing
funders,19,1,10000,Marketing
gap,12,1,250000,Marketing
gap,18,1,75042,Marketing
gap,19,3,370000,Marketing
georgia,18,1,74699,Marketing
geospatial,16,1,1e+05,Marketing
gis,16,1,1e+05,Marketing
groupgap,19,1,70000,Marketing
harmonized,18,1,75042,Marketing
helping,18,1,75042,Marketing
hubs,12,1,14950,Marketing
identifying,19,1,99525,Marketing
impact,18,2,51232,Marketing
implications,19,1,133200,Marketing
incentive,16,2,79119,Marketing
initiative,12,1,1e+05,Marketing
initiative,18,1,74699,Marketing
institute,19,1,96704,Marketing
institution,19,1,1e+05,Marketing
integrating,16,2,140315,Marketing
intro,19,1,1e+05,Marketing
introduction,18,1,52800,Marketing
investment,16,1,48750,Marketing
iphone,17,1,25000,Marketing
learned,16,1,48750,Marketing
lessons,16,1,48750,Marketing
lflp,12,1,1e+05,Marketing
local,12,2,3e+05,Marketing
local,15,2,,Marketing
local,16,7,688750,Marketing
local,17,1,29997.5,Marketing
local,18,3,165189,Marketing
local,19,1,99525,Marketing
maintenance,16,1,1e+05,Marketing
management,12,1,250000,Marketing
management,19,1,70000,Marketing
manual,19,1,70000,Marketing
maps,16,1,1e+05,Marketing
market,12,2,214950,Marketing
market,15,1,1e+05,Marketing
market,16,4,233119,Marketing
market,17,1,25000,Marketing
market,18,1,74699,Marketing
market,19,1,133200,Marketing
marketing,12,1,2e+05,Marketing
marketing,17,1,80000,Marketing
marketing,19,3,347025,Marketing
markets,16,2,79119,Marketing
material,18,1,25616,Marketing
maximize,16,1,54000,Marketing
md,16,1,29119,Marketing
meat,16,1,48750,Marketing
meat,18,1,39573,Marketing
metrics,16,2,240000,Marketing
metrics,19,1,96704,Marketing
mi,16,2,150000,Marketing
midwest,17,1,29997.5,Marketing
mobile,16,1,1e+05,Marketing
nal,12,1,50000,Marketing
national,12,1,2e+05,Marketing
national,15,1,,Marketing
national,16,1,1e+05,Marketing
national,17,1,80000,Marketing
national,18,2,88275,Marketing
national,19,3,156204,Marketing
natl,19,1,99525,Marketing
network,19,1,12000,Marketing
nfmmos,12,1,2e+05,Marketing
œprogramming,17,1,25000,Marketing
organization,12,1,2e+05,Marketing
outreach,17,1,45361,Marketing
outreach,18,2,65189,Marketing
phase,17,1,1e+05,Marketing
pilot,12,1,250000,Marketing
planners,17,1,29997.5,Marketing
planning,16,2,140315,Marketing
platform,18,1,1e+05,Marketing
